OPERATOR_NAME,OPERATOR_DETAILS,OPERATOR_PROPERTIES,EXECUTION_ENGINE,DATABASE_NAME,SCHEMA_NAME,TABLE_NAME,TABLE_TYPE,TABLE_SIZE,OUTPUT_SIZE,SUBTREE_COST,OPERATOR_ID,PARENT_OPERATOR_ID,LEVEL,POSITION,HOST,PORT,TIMESTAMP,CONNECTION_ID
PROJECT,C.CUSTOMERNAME, C.REGION, SO.ORDERID, SO.ORDERDATE, SO.STATUS, SO.TOTALVALUE,PHYSICAL_ENUM_BY: HEX_PROJECT,HEX,,,,,,400000,0.4168209457422145,1,,[REDACTED],1,60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-24 15:34:39.782000000,2125052
  ORDER BY,SO.ORDERDATE ASC,PHYSICAL_ENUM_BY: HEX_ORDER_BY,HEX,,,,,,400000,0.4168209457422145,2,1,2,1,[REDACTED-INSTANCE-ID],30040,2026-08-24 15:34:39.782000000,[REDACTED]
    INDEX JOIN,MANY-TO-ONE INDEX JOIN CONDITION: SO.CUSTOMERID = C.CUSTOMERID,TRANSLATION TABLE (LEFT): SO.CUSTOMERID = C.CUSTOMERID, PHYSICAL_ENUM_BY: HEX_INDEX_JOIN,HEX,H00,NSHARMA,CUSTOMERS,COLUMN TABLE,100000,400000,0.04631584863302776,3,2,3,1,60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-24 15:34:39.782000000,2125052
      TABLE SCAN,,PHYSICAL_ENUM_BY: HEX_TABLE_SCAN,HEX,H00,[STUDENT_SCHEMA],SALESORDERS,COLUMN TABLE,400000,400000,0.0012,4,3,4,1,[REDACTED-INSTANCE-ID],30040,2026-08-24 15:34:39.782000000,[REDACTED]
