OPERATOR_NAME,OPERATOR_DETAILS,OPERATOR_PROPERTIES,EXECUTION_ENGINE,DATABASE_NAME,SCHEMA_NAME,TABLE_NAME,TABLE_TYPE,TABLE_SIZE,OUTPUT_SIZE,SUBTREE_COST,OPERATOR_ID,PARENT_OPERATOR_ID,LEVEL,POSITION,HOST,PORT,TIMESTAMP,CONNECTION_ID
PROJECT,SO.ORDERID, C.CUSTOMERNAME, P.PRODUCTNAME, OI.QUANTITY, OI.LINETOTAL,ATTACHED HINT LIST (HEX_NESTED_LOOP_JOIN), PHYSICAL_ENUM_BY: HEX_PROJECT,HEX,,,,,,1000000,4141.208675291327,1,,[REDACTED],1,60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-24 16:28:52.229000000,2127309
  ORDER BY,SO.ORDERID ASC,PHYSICAL_ENUM_BY: HEX_ORDER_BY,HEX,,,,,,1000000,4141.208675291327,2,1,2,1,[REDACTED-INSTANCE-ID],30040,2026-08-24 16:28:52.229000000,[REDACTED]
    NESTED LOOP JOIN,MANY-TO-ONE JOIN CONDITION: OI.PRODUCTID = P.PRODUCTID, INNER LOOP SIZE: 20000, RIGHT SIDE INNER LOOP,PHYSICAL_ENUM_BY: HEX_NESTED_LOOP_JOIN, PREFERENCE: 10, accumulated: 10,HEX,,,,,,1000000,4140.21896,3,2,3,[REDACTED],60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-24 16:28:52.229000000,2127309
      NESTED LOOP JOIN,ONE-TO-MANY JOIN CONDITION: SO.ORDERID = OI.ORDERID, INNER LOOP SIZE: 400000, LEFT SIDE INNER LOOP,PHYSICAL_ENUM_BY: HEX_NESTED_LOOP_JOIN, PREFERENCE: 10, accumulated: 10,HEX,,,,,,1000000,3960.1925,4,3,4,[REDACTED],60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-24 16:28:52.229000000,2127309
        NESTED LOOP JOIN,ONE-TO-MANY JOIN CONDITION: C.CUSTOMERID = SO.CUSTOMERID, INNER LOOP SIZE: 100000, LEFT SIDE INNER LOOP,PHYSICAL_ENUM_BY: HEX_NESTED_LOOP_JOIN, PREFERENCE: 10, accumulated: 10,HEX,,,,,,400000,360.0415,5,4,5,[REDACTED],60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-24 16:28:52.229000000,2127309
          TABLE SCAN,,PHYSICAL_ENUM_BY: HEX_TABLE_SCAN,HEX,H00,[STUDENT_SCHEMA],CUSTOMERS,COLUMN TABLE,100000,100000,0.0003,6,5,6,1,[REDACTED-INSTANCE-ID],30040,2026-08-24 16:28:52.229000000,[REDACTED]
          TABLE SCAN,,PHYSICAL_ENUM_BY: HEX_TABLE_SCAN,HEX,H00,[STUDENT_SCHEMA],SALESORDERS,COLUMN TABLE,400000,400000,0.0012,7,5,6,2,[REDACTED-INSTANCE-ID],30040,2026-08-24 16:28:52.229000000,[REDACTED]
        TABLE SCAN,,PHYSICAL_ENUM_BY: HEX_TABLE_SCAN,HEX,H00,[STUDENT_SCHEMA],ORDERITEMS,COLUMN TABLE,1000000,1000000,0.003,8,4,5,2,[REDACTED-INSTANCE-ID],30040,2026-08-24 16:28:52.229000000,[REDACTED]
      TABLE SCAN,,PHYSICAL_ENUM_BY: HEX_TABLE_SCAN,HEX,H00,[STUDENT_SCHEMA],PRODUCTS,COLUMN TABLE,20000,20000,0.00006,9,3,4,2,[REDACTED-INSTANCE-ID],30040,2026-08-24 16:28:52.229000000,[REDACTED]
