OPERATOR_NAME,OPERATOR_DETAILS,OPERATOR_PROPERTIES,EXECUTION_ENGINE,DATABASE_NAME,SCHEMA_NAME,TABLE_NAME,TABLE_TYPE,TABLE_SIZE,OUTPUT_SIZE,SUBTREE_COST,OPERATOR_ID,PARENT_OPERATOR_ID,LEVEL,POSITION,TIMESTAMP
PROJECT,P.CATEGORY, ITEMSSOLD, TOTALUNITS, TOTALREVENUE,PHYSICAL_ENUM_BY: HEX_PROJECT,HEX,,,,,,3,0.000006719761951181833,1,,1,1,2026-08-16 09:29:19.596000000
  ORDER BY,SUM(OI.LINETOTAL) DESC,PHYSICAL_ENUM_BY: HEX_ORDER_BY,HEX,,,,,,3,0.000006719761951181833,2,1,2,1,2026-08-16 09:29:19.596000000
    AGGREGATION,GROUPING: P.CATEGORY, AGGREGATION: COUNT(DISTINCT OI.ORDERID), SUM(OI.QUANTITY), SUM(OI.LINETOTAL),VALUE_ID GROUPING, PHYSICAL_ENUM_BY: HEX_AGGR,HEX,,,,,,3,0.000006392527351077986,3,2,3,1,2026-08-16 09:29:19.596000000
      INDEX JOIN,MANY-TO-ONE INDEX JOIN CONDITION: OI.PRODUCTID = P.PRODUCTID,PHYSICAL_ENUM_BY: HEX_INDEX_JOIN,HEX,H00,NSHARMA,PRODUCTS,COLUMN TABLE,5,7,8.105273510779858e-7,4,3,4,1,2026-08-16 09:29:19.596000000
        TABLE SCAN,,PHYSICAL_ENUM_BY: HEX_TABLE_SCAN,HEX,H00,NSHARMA,ORDERITEMS,COLUMN TABLE,7,7,2.1e-8,5,4,5,1,2026-08-16 09:29:19.596000000
