OPERATOR_NAME,OPERATOR_DETAILS,OPERATOR_PROPERTIES,EXECUTION_ENGINE,DATABASE_NAME,SCHEMA_NAME,TABLE_NAME,TABLE_TYPE,TABLE_SIZE,OUTPUT_SIZE,SUBTREE_COST,OPERATOR_ID,PARENT_OPERATOR_ID,LEVEL,POSITION,HOST,PORT,TIMESTAMP,CONNECTION_ID
MULTI-STORE INSERT OPERATOR,,,COLUMN,H00,[STUDENT_SCHEMA],CUSTOMERS,COLUMN TABLE,,,,1,,1,1,[REDACTED-INSTANCE-ID],30040,2026-08-19 16:25:12.736000000,[REDACTED]
  INSERT,COLUMNS: (CUSTOMERID, CUSTOMERNAME, REGION, CREDITLIMIT, CREATEDAT), VALUES: (SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START + 1, CONCAT('Customer_', TO_NCHAR(SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START + 1)), CASE WHEN MOD(SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START, 4) = 0 THEN 'Europe' WHEN MOD(SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START, 4) = 1 THEN 'North America' WHEN MOD(SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START, 4) = 2 THEN 'APAC' ELSE 'South America' END, SINGLE(ROUND(RAND() * 90000 + 10000, 2)), CURRENT_TIMESTAMP),HUP OPTIMIZER, PIPELINED INSERT SELECT,COLUMN,H00,NSHARMA,CUSTOMERS,COLUMN TABLE,,,,2,1,2,1,60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-19 16:25:12.736000000,2115877
    PROJECT,SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START + 1, CONCAT('Customer_', TO_NCHAR(SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START + 1)), CASE WHEN MOD(SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START, 4) = 0 THEN 'Europe' WHEN MOD(SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START, 4) = 1 THEN 'North America' WHEN MOD(SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START, 4) = 2 THEN 'APAC' ELSE 'South America' END, CREDITLIMIT,ATTACHED HINT LIST (NO_OLAP_GUIDED_NAVIGATION), PHYSICAL_ENUM_BY: HEX_PROJECT,HEX,,,,,,10000,[REDACTED],3,2,3,1,60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-19 16:25:12.736000000,2115877
      MATERIALIZE,ROUND(RAND() * 90000 + 10000, 2),PHYSICAL_ENUM_BY: HEX_MATERIALIZE,HEX,,,,,,10000,0,4,3,4,1,60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-19 16:25:12.736000000,2115877
        TABLE FUNCTION,PARAMETER: Mode: OUT NAME: _SYS_SS2_RETURN_VAR_ TYPE: -/ Mode: IN NAME: INCREMENT_BY TYPE: / Mode: IN NAME: MIN_VALUE TYPE: / Mode: IN NAME: MAX_VALUE TYPE: ,NOT UNFOLDED DUE TO DEV_NO_SQLSCRIPT_SCENARIO HINT, PHYSICAL_ENUM_BY: HEX_TABLE_FUNCTION,HEX,H00,SYS,SERIES_GENERATE_INTEGER,TABLE FUNCTION,10000,10000,0,5,4,5,1,60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-19 16:25:12.736000000,2115877
