OPERATOR_NAME,OPERATOR_DETAILS,OPERATOR_PROPERTIES,EXECUTION_ENGINE,DATABASE_NAME,SCHEMA_NAME,TABLE_NAME,TABLE_TYPE,TABLE_SIZE,OUTPUT_SIZE,SUBTREE_COST,OPERATOR_ID,PARENT_OPERATOR_ID,LEVEL,POSITION,TIMESTAMP
PROJECT,C.CUSTOMERNAME, C.REGION, SO.ORDERID, SO.ORDERDATE, SO.STATUS, SO.TOTALVALUE,PHYSICAL_ENUM_BY: HEX_PROJECT,HEX,,,,,,6,0.0000016372069297031091,1,,1,1,2026-08-16 07:26:10.580000000
  ORDER BY,SO.ORDERDATE ASC,PHYSICAL_ENUM_BY: HEX_ORDER_BY,HEX,,,,,,6,0.0000016372069297031091,2,1,2,1,2026-08-16 07:26:10.580000000
    INDEX JOIN,MANY-TO-ONE INDEX JOIN CONDITION: SO.CUSTOMERID = C.CUSTOMERID,PHYSICAL_ENUM_BY: HEX_INDEX_JOIN,HEX,H00,[STUDENT_SCHEMA],CUSTOMERS,COLUMN TABLE,5,6,6.947377294954164e-7,3,2,3,1,2026-08-16 07:26:10.580000000
      TABLE SCAN,,PHYSICAL_ENUM_BY: HEX_TABLE_SCAN,HEX,H00,[STUDENT_SCHEMA],SALESORDERS,COLUMN TABLE,6,6,1.8e-8,4,3,4,1,2026-08-16 07:26:10.580000000
