OPERATOR_NAME,OPERATOR_DETAILS,OPERATOR_PROPERTIES,EXECUTION_ENGINE,DATABASE_NAME,SCHEMA_NAME,TABLE_NAME,TABLE_TYPE,TABLE_SIZE,OUTPUT_SIZE,SUBTREE_COST,OPERATOR_ID,PARENT_OPERATOR_ID,LEVEL,POSITION,HOST,PORT,TIMESTAMP,CONNECTION_ID
MULTI-STORE UPDATE OPERATOR,,,COLUMN,H00,[STUDENT_SCHEMA],ORDERITEMS,COLUMN TABLE,,,,1,,1,1,[REDACTED-INSTANCE-ID],30040,2026-08-20 09:04:41.811000000,[REDACTED]
  UPDATE,,PIPELINED UPDATE,COLUMN,H00,[STUDENT_SCHEMA],ORDERITEMS,COLUMN TABLE,,,,2,1,2,1,[REDACTED-INSTANCE-ID],30040,2026-08-20 09:04:41.811000000,[REDACTED]
    PROJECT,TO_DECIMAL(OI.QUANTITY, 20, 0) * TO_DECIMAL(P.UNITPRICE, 20, 2), ORDERITEMS.$rowid$,PHYSICAL_ENUM_BY: HEX_PROJECT,HEX,,,,,,10000,0.0005449567596,3,2,[REDACTED],1,60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-20 09:04:41.811000000,2126567
      HASH JOIN,MANY-TO-ONE HASH CONDITION: OI.PRODUCTID = P.PRODUCTID, HASH SIZE: 200,TRANSLATION TABLE (RIGHT): OI.PRODUCTID = P.PRODUCTID, PERFECT_HASH, PHYSICAL_ENUM_BY: HEX_HASH_JOIN,HEX,,,,,,10000,0.0005449567596,4,3,4,1,60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-20 09:04:41.811000000,2126567
        TABLE SCAN,,PHYSICAL_ENUM_BY: HEX_TABLE_SCAN,HEX,H00,[STUDENT_SCHEMA],ORDERITEMS,COLUMN TABLE,10000,10000,0.00003,5,4,5,1,[REDACTED-INSTANCE-ID],30040,2026-08-20 09:04:41.811000000,[REDACTED]
        TABLE SCAN,,PHYSICAL_ENUM_BY: HEX_TABLE_SCAN,HEX,H00,[STUDENT_SCHEMA],PRODUCTS,COLUMN TABLE,200,200,6e-7,6,4,5,2,[REDACTED-INSTANCE-ID],30040,2026-08-20 09:04:41.811000000,[REDACTED]
