OPERATOR_NAME,OPERATOR_DETAILS,OPERATOR_PROPERTIES,EXECUTION_ENGINE,DATABASE_NAME,SCHEMA_NAME,TABLE_NAME,TABLE_TYPE,TABLE_SIZE,OUTPUT_SIZE,SUBTREE_COST,OPERATOR_ID,PARENT_OPERATOR_ID,LEVEL,POSITION,TIMESTAMP
PROJECT,PRODUCTS.PRODUCTID, PRODUCTS.PRODUCTNAME, PRODUCTS.CATEGORY, PRODUCTS.STOCKQTY, PRODUCTS.UNITPRICE,PHYSICAL_ENUM_BY: HEX_PROJECT,HEX,,,,,,1,8.9297434e-8,1,,1,1,2026-08-16 07:10:39.315000000
  ORDER BY,PRODUCTS.STOCKQTY ASC,PHYSICAL_ENUM_BY: HEX_ORDER_BY,HEX,,,,,,1,8.9297434e-8,2,1,2,1,2026-08-16 07:10:39.315000000
    TABLE SCAN,FILTER CONDITION: PRODUCTS.STOCKQTY < 300 (DETAIL: ([SCAN] PRODUCTS.STOCKQTY < 300)),PHYSICAL_ENUM_BY: HEX_TABLE_SCAN,HEX,H00,[STUDENT_SCHEMA],PRODUCTS,COLUMN TABLE,5,1,8.297434e-9,3,2,3,1,2026-08-16 07:10:39.315000000
