OPERATOR_NAME,OPERATOR_DETAILS,OPERATOR_PROPERTIES,EXECUTION_ENGINE,DATABASE_NAME,SCHEMA_NAME,TABLE_NAME,TABLE_TYPE,TABLE_SIZE,OUTPUT_SIZE,SUBTREE_COST,OPERATOR_ID,PARENT_OPERATOR_ID,LEVEL,POSITION,HOST,PORT,TIMESTAMP,CONNECTION_ID
PROJECT,PRODUCTS.PRODUCTID, PRODUCTS.PRODUCTNAME, PRODUCTS.CATEGORY, PRODUCTS.STOCKQTY, PRODUCTS.UNITPRICE,PHYSICAL_ENUM_BY: HEX_PROJECT,HEX,,,,,,64,0.000020967662296,1,,1,[REDACTED],60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-24 13:17:19.835000000,2125052
  ORDER BY,PRODUCTS.STOCKQTY ASC,PHYSICAL_ENUM_BY: HEX_ORDER_BY,HEX,,,,,,64,0.000020967662296,2,1,2,1,[REDACTED-INSTANCE-ID],30040,2026-08-24 13:17:19.835000000,[REDACTED]
    TABLE SCAN,FILTER CONDITION: PRODUCTS.STOCKQTY < 300 (DETAIL: ([SCAN] PRODUCTS.STOCKQTY < 300)),PHYSICAL_ENUM_BY: HEX_TABLE_SCAN,HEX,H00,[STUDENT_SCHEMA],PRODUCTS,COLUMN TABLE,200,64,4.23662296e-7,3,2,3,1,[REDACTED-INSTANCE-ID],30040,2026-08-24 13:17:19.835000000,[REDACTED]
