OPERATOR_NAME,OPERATOR_DETAILS,OPERATOR_PROPERTIES,EXECUTION_ENGINE,DATABASE_NAME,SCHEMA_NAME,TABLE_NAME,TABLE_TYPE,TABLE_SIZE,OUTPUT_SIZE,SUBTREE_COST,OPERATOR_ID,PARENT_OPERATOR_ID,LEVEL,POSITION,HOST,PORT,TIMESTAMP,CONNECTION_ID
MULTI-STORE INSERT OPERATOR,,,COLUMN,H00,[STUDENT_SCHEMA],ORDERITEMS,COLUMN TABLE,,,,1,,1,1,[REDACTED-INSTANCE-ID],30040,2026-08-20 08:53:03.009000000,[REDACTED]
  INSERT,COLUMNS: (ORDERITEMID, ORDERID, PRODUCTID, QUANTITY, LINETOTAL), VALUES: (SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START + 1, MOD(SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START, 4000) + 1, MOD(SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START, 200) + 1, SINGLE(TO_INT(RAND() * 20 + 1)), 0),HUP OPTIMIZER, PIPELINED INSERT SELECT,COLUMN,H00,NSHARMA,ORDERITEMS,COLUMN TABLE,,,,2,1,2,1,60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-20 08:53:03.009000000,2126486
    PROJECT,SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START + 1, MOD(SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START, 4000) + 1, MOD(SERIES_GENERATE_INTEGER.GENERATED_PERIOD_START, 200) + 1, QUANTITY,ATTACHED HINT LIST (NO_OLAP_GUIDED_NAVIGATION), PHYSICAL_ENUM_BY: HEX_PROJECT,HEX,,,,,,10000,0,3,[REDACTED],3,1,60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-20 08:53:03.009000000,2126486
      MATERIALIZE,TO_INT(RAND() * 20 + 1),PHYSICAL_ENUM_BY: HEX_MATERIALIZE,HEX,,,,,,10000,0,4,3,4,1,[REDACTED-INSTANCE-ID],30040,2026-08-20 08:53:03.009000000,[REDACTED]
        TABLE FUNCTION,PARAMETER: Mode: OUT NAME: _SYS_SS2_RETURN_VAR_ TYPE: -/ Mode: IN NAME: INCREMENT_BY TYPE: / Mode: IN NAME: MIN_VALUE TYPE: / Mode: IN NAME: MAX_VALUE TYPE: ,NOT UNFOLDED DUE TO DEV_NO_SQLSCRIPT_SCENARIO HINT, PHYSICAL_ENUM_BY: HEX_TABLE_FUNCTION,HEX,H00,SYS,SERIES_GENERATE_INTEGER,TABLE FUNCTION,10000,10000,0,5,4,5,1,60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-20 08:53:03.009000000,2126486
  FOREIGN KEY,"NSHARMA.""FK_ITEM_ORDER"""," REFERENCING TABLE: ""NSHARMA"".""SALESORDERS""",,COLUMN,H00,NSHARMA,ORDERITEMS,,,,,6,1,2,2,60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-20 08:53:03.009000000,2126486
  FOREIGN KEY,"NSHARMA.""FK_ITEM_PRODUCT"""," REFERENCING TABLE: ""NSHARMA"".""PRODUCTS""",,COLUMN,H00,NSHARMA,ORDERITEMS,,,,,7,1,2,3,60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-20 08:53:03.009000000,2126486
