OPERATOR_NAME,OPERATOR_DETAILS,OPERATOR_PROPERTIES,EXECUTION_ENGINE,DATABASE_NAME,SCHEMA_NAME,TABLE_NAME,TABLE_TYPE,TABLE_SIZE,OUTPUT_SIZE,SUBTREE_COST,OPERATOR_ID,PARENT_OPERATOR_ID,LEVEL,POSITION,HOST,PORT,TIMESTAMP,CONNECTION_ID
PROJECT,SO1.CUSTOMERID, SO1.LATERORDER, SO2.EARLIERORDER, SO1.TOTALVALUE, SO2.TOTALVALUE,PHYSICAL_ENUM_BY: HEX_PROJECT,HEX,,,,,,2560,0.0021898770304,1,,1,[REDACTED],60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-24 14:08:56.366000000,2125052
  HASH JOIN,HASH CONDITION: SO1.CUSTOMERID = SO2.CUSTOMERID, REST CONDITION: SO1.ORDERDATE > SO2.ORDERDATE AND SO1.TOTALVALUE > SO2.TOTALVALUE, HASH SIZE: 4000,PERFECT_HASH, PHYSICAL_ENUM_BY: HEX_HASH_JOIN,HEX,,,,,,2560,0.0021898770304,2,1,2,1,60529a8a-1bd7-4938-8902-03594c29fc91,30040,2026-08-24 14:08:56.366000000,2125052
    TABLE SCAN,,PHYSICAL_ENUM_BY: HEX_TABLE_SCAN,HEX,H00,[STUDENT_SCHEMA],SALESORDERS,COLUMN TABLE,4000,4000,0.000012,3,2,3,1,[REDACTED-INSTANCE-ID],30040,2026-08-24 14:08:56.366000000,[REDACTED]
    TABLE SCAN,,PHYSICAL_ENUM_BY: HEX_TABLE_SCAN,HEX,H00,[STUDENT_SCHEMA],SALESORDERS,COLUMN TABLE,4000,4000,0.000012,4,2,3,2,[REDACTED-INSTANCE-ID],30040,2026-08-24 14:08:56.366000000,[REDACTED]
